25/04/20 16:28:15.886 [1995872416] INFO  parScreenLog - Loading settings...
25/04/20 16:28:15.934 [1995872416] INFO  parScreenLog - Loading settings complete
25/04/20 16:28:15.964 [1995872416] DEBUG parScreenLog - Listening on 48545
25/04/20 16:28:15.965 [1995872416] DEBUG parScreenLog - rgb = RGB
25/04/20 16:28:16.002 [1995872416] DEBUG parScreenLog - led_matrix: size = 32x32. Hardware gpio mapping: regular
25/04/20 16:28:16.780 [1995872416] ERROR parScreenLog - Can't open pid file /var/run/par/par_screend.pid for reading
25/04/20 16:28:16.781 [1995872416] ERROR parScreenLog - Can't open pid file /var/run/par/par_screend.pid for writing. Reason: No such file or directory
25/04/20 16:28:16.781 [1995872416] INFO  parScreenLog - par_screen v0.2 started as app
25/04/20 16:28:16.781 [1995872416] INFO  parScreenLog - Showing default image
25/04/20 16:28:16.781 [1995872416] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:28:16.832 [1995872416] TRACE parScreenLog - Default image preparation time = 50329085
25/04/20 16:28:16.832 [1995872416] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:28:16.848 [1995872416] DEBUG parScreenLog - Default image draw time = 16639020 32x32
25/04/20 16:28:20.316 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:20.316 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:21.362 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:21.362 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:22.405 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:22.412 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:23.451 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:23.452 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:24.492 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:24.492 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:25.531 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:25.531 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:26.574 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:26.574 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:27.631 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:27.636 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:28.687 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:28.688 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:29.736 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:29.736 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:38.091 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:38.092 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:39.143 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:39.143 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:40.190 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:40.190 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:41.241 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:41.241 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:28:42.292 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:28:42.292 [1995872416] TRACE parScreenLog - part: [0, 3153394
